Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q8K3C3,LZIC_MOUSE,Lzic,Protein LZIC,5,5,,,,34318.4,,14938.4,98217.4,27987.7,,11689.3,86587.6,33046.4,,,126426,,,,,,,,,,,,,,,,11984.1,,,,,,,294321,122030,,,,
Q9DA11,LYZL6_MOUSE,Lyzl6,Lysozyme-like protein 6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96186.6,517989,,,,
Q9D925,LYZL4_MOUSE,Lyzl4,Lysozyme-like protein 4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413279,,,,
Q9CPX3,LYZL1_MOUSE,Lyzl1,Lysozyme-like protein 1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565623,,,,
P08905,LYZ2_MOUSE,Lyz2,Lysozyme C-2,5,2,,,,,937935,,,,1.41E+06,,432762,,969486,,,,,1.00E+06,1.33E+06,,,,3.36E+06,7.32E+06,,,,2.48E+06,,428384,8.77E+06,,,1.77E+07,,2.55E+06,,,,,,,
Q8BHC0,LYVE1_MOUSE,Lyve1,Lymphatic vessel endothelial hyaluronic acid receptor 1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03E+06,,,,,,,,,,,,
P97412,LYST_MOUSE,Lyst,Lysosomal-trafficking regulator,3,3,,,,53372.6,,41408.9,,,,47478,,,,,,43283.1,48663.1,,,,,,,,,,,,,,,,,,,,,,,,,,
G3X915,G3X915_MOUSE,Lysmd2,LysM and putative peptidoglycan-binding domain-containing protein 2,5,5,50564.1,34722.6,87763.3,108091,,,27743,81894.5,,,49917.7,90072,,,,55297.7,104226,,115910,119231,64554.3,,,,,,,,,,67446.7,317239,273579,859296,,,,,,,,,
Q9D0E3,LYSM1_MOUSE,Lysmd1,LysM and putative peptidoglycan-binding domain-containing protein 1,7,6,138318,117166,210960,100275,,,,116875,,,,95777.2,,52804.9,,589719,744625,123394,248099,341470,246535,203139,,,,,,,,,,358613,276309,602716,,,89585.5,,,,,,
Q9DA03,LYRM7_MOUSE,Lyrm7,Complex III assembly factor LYRM7,2,2,,,,45940.2,,,,34765,,,,36593.9,,,,,,,,42908.1,,,,145727,,,,,,,,,,,,,90858.1,,,,,,
Q8K215,LYRM4_MOUSE,Lyrm4,LYR motif-containing protein 4,4,4,229180,159257,244046,280676,,,,238711,,,,274117,,57759.3,,289053,268266,,191496,200631,285448,,184778,608149,,,,249836,,91413.6,92521.6,,,456069,,236081,109567,,88617.6,,,,
Q8R033,LYRM2_MOUSE,Lyrm2,LYR motif-containing protein 2,3,3,,,,,,,,,,,,,,,,,,,,,,,,135683,,,,,,,,,,,,,,,,,,,
Q9CQB7,LYRM1_MOUSE,Lyrm1,LYR motif-containing protein 1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467953,,,,
Q3UFF7,LYPL1_MOUSE,Lyplal1,Lysophospholipase-like protein 1,9,9,,,,247406,,,,186094,,,,269026,,,,424962,602356,526482,,47810.4,,534919,,664950,,2.04E+06,,427956,877784,4.35E+06,,,,,,823859,191460,381399,619300,,,,
Q9WTL7,LYPA2_MOUSE,Lypla2,Acyl-protein thioesterase 2,6,6,,,,540337,,266797,848147,463939,,231204,1.10E+06,581108,,179179,1.07E+06,,,,241769,304887,463470,,264099,164346,635083,,,158630,217278,239753,412831,,,,,,,291245,154799,,571055,151476,
P97823,LYPA1_MOUSE,Lypla1,Acyl-protein thioesterase 1,8,8,,,,272426,,,,463837,,,,308842,,,347250,,,,,408210,,,796586,2.88E+06,526682,,,1.10E+06,1.23E+06,7.81E+06,797224,,,,,98538.2,604564,994079,675659,,,390166,
Q8BVP6,LYPD4_MOUSE,Lypd4,Ly6/PLAUR domain-containing protein 4,7,7,,,,,,270054,,,,,,,,,,,,,,,,830994,,,,,,,,,,,,,,,516189,109629,3.36E+06,,,,
A0A0U1RNJ8,A0A0U1RNJ8_MOUSE,Lypd11,Ly6/PLAUR domain containing 11,4,4,,,,,,,,,,,,,,,,,,,,,,814462,,,,,,,,,,,,,,,,,659371,,,,
Q8CFJ5,Q8CFJ5_MOUSE,Lypd11,Ly6/PLAUR domain containing 11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116419,,,,
Q810N3,Q810N3_MOUSE,Lypd10,Ly6/PLAUR domain containing 10,6,6,,,,,,113325,,,,,,,,,,,,,,,,1.16E+06,,,,,,,,78422.4,,,,,,,,369115,4.01E+06,,,,
Q8BLC3,LYPD1_MOUSE,Lypd1,Ly6/PLAUR domain-containing protein 1,1,1,,,,20842.7,,202631,,,,200370,,17544.1,,36910.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DP60,LYNX1_MOUSE,Lynx1,Ly-6/neurotoxin-like protein 1,3,3,350272,272522,,502224,,6.18E+06,,584430,,7.85E+06,,640620,,1.23E+07,,1.54E+07,1.65E+07,1.41E+07,295770,343922,,,1.01E+06,,,,,673237,,,,,,1.01E+06,,,,,,,,,
P25911,LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn,16,15,,,,,,129846,,41618.1,,155474,,31868.3,,117407,,119973,113909,194628,,,,,83857.5,,,,,,,129253,200703,,,,,122558,,,89281.6,,,,
Q08288,LYAR_MOUSE,Lyar,Cell growth-regulating nucleolar protein,23,23,,,,,,358405,,,,282968,,,,158210,,96896.4,,1.16E+06,,,,1.00E+07,,,,,,,,,,2.28E+06,1.82E+06,,,243640,4.63E+06,2.33E+06,2.47E+06,,,,
Q60767,LY75_MOUSE,Ly75,Lymphocyte antigen 75,3,3,,,,,,37557.5,,,,30678.9,,,,,,,,,,,,,,,,,,,,41881.4,,,,,,,,,,,,,
Q9CWP4,LY6K_MOUSE,Ly6k,Lymphocyte antigen 6K,3,3,,,,,,187429,,,,36834.5,,,,,,,,,,,,7.39E+06,,,,,,,,,,,,,,,,213585,1.09E+06,,,,
Q9WUC3,LY6H_MOUSE,Ly6h,Lymphocyte antigen 6H,4,4,,,,1.65E+06,,1.47E+06,,1.43E+06,,1.42E+06,,1.31E+06,,125735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35459,LY6D_MOUSE,Ly6d,Lymphocyte antigen 6D,1,1,,,,,,,,,,,,,,,,44424.5,119086,,,,,461643,,,,,,,,,,,,,2.19E+06,33352.5,,,,,,,
P0CW02,LY6C1_MOUSE,Ly6c1,Lymphocyte antigen 6C1,3,1,,,,,,,,,,,,,,,,75325.2,78248.2,107676,,,,247789,,,,,,,,,,,,,,95776.3,,,,,,,
P05533,LY6A_MOUSE,Ly6a,Lymphocyte antigen 6A-2/6E-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245667,,,,,,,,,,,,
P70202,LXN_MOUSE,Lxn,Latexin,5,5,,104702,200612,1.03E+06,,255566,785497,1.02E+06,,186862,803628,1.32E+06,,176649,837887,,179524,,273997,128589,521448,,2.15E+06,,,276056,,,,,1.05E+06,,,,,,,219799,161962,,,,
Q8R4U7,LUZP1_MOUSE,Luzp1,Leucine zipper protein 1,34,34,300978,288483,271998,,307132,72757.1,75241.6,,304431,107151,74738.8,,315349,236652,79371.1,628210,670835,621060,434905,461162,485974,412115,,344586,,,,510396,,,,283257,316235,361654,,348817,284050,,,,,,
Q9D6I9,LURA1_MOUSE,Lurap1,Leucine rich adaptor protein 1,1,1,,,,,,,,,,,,,,295144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51885,LUM_MOUSE,Lum,Lumican,15,15,,,,,,,,,,,,,,,,,,3.24E+06,,,,991786,2.48E+07,906888,6.28E+06,1.55E+06,,3.05E+06,1.42E+06,451227,9.49E+06,,,,2.35E+08,1.33E+06,1.18E+06,2.03E+06,1.10E+06,,,,
Q5SUF2,LC7L3_MOUSE,Luc7l3,Luc7-like protein 3,10,10,87691,72109,,,,118443,,,,316179,,72975.1,,70844.2,72898.8,64540.4,60315.3,,98829.4,61121.5,85710.1,102522,,133423,,,,,,,65899.6,,,,,63682.1,62353.8,225832,114670,,,,
Q7TNC4,LC7L2_MOUSE,Luc7l2,Putative RNA-binding protein Luc7-like 2,14,9,148656,,,,,241744,303663,,,178931,247828,,,259442,311281,,,,127200,105670,99096.1,833170,,666673,,,,,,160604,338879,,,,,529255,1.19E+06,729671,297742,,,,
Q9CYI4,LUC7L_MOUSE,Luc7l,Putative RNA-binding protein Luc7-like 1,3,3,271162,,,,,123843,86117,,,223276,126904,,,77507.4,131356,141099,166132,144292,,75836.4,61289.5,2.58E+06,,277302,,,,,,,,,,,,220716,384665,221861,96536.3,,,,
Q6NSQ7,LTV1_MOUSE,Ltv1,Protein LTV1 homolog,3,3,,,,,,,,,,,,,,,,,,,,,,607695,,,,,,,,,,,,,,,1.92E+06,,,,,,
Q6A009,LTN1_MOUSE,Ltn1,E3 ubiquitin-protein ligase listerin,5,5,,,,,,88001.2,,,,46554.6,66896.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,49805.7,,,,
P08071,TRFL_MOUSE,Ltf,Lactotransferrin,13,13,,,,,,,,,,,,,,,,,,546347,,,,,398509,,,,,436363,,,42363.5,,,,,,,,,,,,
Q8K4G1,LTBP4_MOUSE,Ltbp4,Latent-transforming growth factor beta-binding protein 4,7,7,,,,,,,,,,,,,,,,663782,510195,4.46E+06,,,,2.40E+07,355858,,,,,,,,445700,,,,,425378,,,,,,,
P24527,LKHA4_MOUSE,Lta4h,Leukotriene A-4 hydrolase,29,29,297721,297245,179098,355605,,249867,813234,332186,,171472,868630,384886,,241779,885304,,,,,,,,636530,199714,424649,,,,448294,856467,1.81E+06,,,,532455,211710,,1.91E+06,796406,,,,
Q8BLN5,LSS_MOUSE,Lss,Lanosterol synthase,14,14,,,,105040,,369624,,,,397838,,,,,,,,1.24E+06,,,,,404257,,,1.89E+06,,,,329857,,,,,,,,266393,1.15E+06,,,,
Q99KG5,LSR_MOUSE,Lsr,Lipolysis-stimulated lipoprotein receptor,8,8,,,,,,120376,,,,233687,,,,,,171264,227913,1.14E+06,,,,5.56E+06,,,,,,,,,,,,,,1.06E+06,,,214224,,,,
A2A6J4,A2A6J4_MOUSE,Lsp1,Lymphocyte specific 1,8,8,,,,,309205,,,,,,,,,,,,195090,,,,,,373044,250669,,,,265628,,,852691,,,,,181599,,,,,,,
Q3UQS2,LSME1_MOUSE,Lsmem1,Leucine-rich single-pass membrane protein 1,1,1,,,,,,171226,,,,113889,,,,,,,189875,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZWM4,LSM8_MOUSE,Lsm8,U6 snRNA-associated Sm-like protein LSm8,4,4,446156,335924,333133,,,193730,81656.5,,,345987,74968,,,,106636,,106969,,,,,184584,,,,,,,,,148210,,,,,,,458798,342240,,2.82E+06,402414,
Q9CQQ8,LSM7_MOUSE,Lsm7,U6 snRNA-associated Sm-like protein LSm7,4,4,194593,72875,142758,,,46827.7,57617.6,,,,63734.2,,,79793.4,49511,77581.2,117341,,256556,185071,208597,382627,85141.2,338143,,,,,72896.8,,75781.7,,,,,27372.2,1.06E+06,127773,107023,,807634,567837,
P62313,LSM6_MOUSE,Lsm6,U6 snRNA-associated Sm-like protein LSm6,4,4,181263,185562,,79713.5,,,222680,62402.5,,75706,231850,91405.9,,,252479,102209,,,746087,727881,789451,,,585632,,,,,,,253257,,,,,,987417,,,,1.24E+07,4.86E+06,
P62322,LSM5_MOUSE,Lsm5,U6 snRNA-associated Sm-like protein LSm5,1,1,,,,,,,123680,,,,62940.2,,,,93145.2,,,,,,,,,,,,,,,,,,,,,,,293029,81463.8,,,,
Q9QXA5,LSM4_MOUSE,Lsm4,U6 snRNA-associated Sm-like protein LSm4,8,8,,160460,,37615.8,,74916.1,88208.1,31220.5,,143688,102271,58690.5,,112104,108297,496791,564315,196605,460329,290285,367234,2.26E+06,,525090,,,,163787,,,130641,,,,,293458,1.30E+06,,,,,333185,
P62311,LSM3_MOUSE,Lsm3,U6 snRNA-associated Sm-like protein LSm3,4,4,1.21E+06,444944,503111,98208,,250595,366690,96637.9,,317386,320848,119864,,186870,329000,,,,,57506.4,,,287763,82883.1,69745,,,,,201569,428385,,,,,57652.1,,1.15E+06,465111,,1.88E+07,6.56E+06,
O35900,LSM2_MOUSE,Lsm2,U6 snRNA-associated Sm-like protein LSm2,4,4,863598,848889,138728,49665.3,,60350.7,125492,27158.1,,91084.4,123816,46554.6,,99948.4,128958,158734,204340,89679,353903,157997,310113,1.62E+06,45297.3,155090,,,,,,46194.7,120136,,,,,,173880,337753,176616,,7.95E+06,2.65E+06,
Q8CGC4,LS14B_MOUSE,Lsm14b,Protein LSM14 homolog B,4,4,,51937,,,,14501.6,29702.2,,,,43647.1,,,40370.1,57536.6,133925,183352,83082.2,,74231.5,49686.7,1.24E+06,,83431.7,,,,,,,,,,,,,339191,70953.9,,,263391,87924.7,
Q8K2F8,LS14A_MOUSE,Lsm14a,Protein LSM14 homolog A,2,2,,,,,,,,,,,,,,,,125444,178611,,,,,,,,,,,,,,,,,,,,,,,,138821,157110,
Q9D0R8,LSM12_MOUSE,Lsm12,Protein LSM12,4,4,,,,121545,,,262505,212159,,119237,388253,142769,,119846,238492,100798,89179.4,,428348,733984,671755,419716,,287239,,,,474371,108864,,,,,,,100745,1.06E+06,515739,353488,,,,
Q8BUV6,LSM11_MOUSE,Lsm11,U7 snRNA-associated Sm-like protein LSm11,3,3,,,,,,13227.8,,,,,,,,,,29095.2,27027.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8VC85,LSM1_MOUSE,Lsm1,U6 snRNA-associated Sm-like protein LSm1,2,2,,,,,,,,,,,,,,,125824,,,,,,,,,,,,,,,,,,,,,,,294069,117711,,2.12E+07,5.97E+06,
Q3UM18,LSG1_MOUSE,Lsg1,Large subunit GTPase 1 homolog,12,12,,,,,,103886,,,,40336.2,,,,,,,,,,,,1.24E+06,,,,,,,,,,,,,,191518,752222,,335256,,,,
Q8BLK3,LSAMP_MOUSE,Lsamp,Limbic system-associated membrane protein,28,28,5.09E+06,2.84E+06,3.53E+06,5.23E+06,,4.87E+06,352253,6.01E+06,,5.33E+06,463216,5.61E+06,,1.11E+07,553555,1.17E+07,1.25E+07,1.66E+07,1.95E+06,2.04E+06,926425,1.09E+06,1.16E+06,,989823,2.84E+06,,2.75E+06,,,,6.29E+06,4.20E+06,4.02E+06,1.77E+06,,,,182935,,,,
Q8BUI3,LRWD1_MOUSE,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,7,1,,,,,,192816,,,,138251,,,,170994,,305306,332855,384441,,,,1.08E+07,,,,,,,,,,,,,,241930,402473,336013,,,,,
Q8BGX3,LRTM2_MOUSE,Lrtm2,Leucine-rich repeat and transmembrane domain-containing protein 2,3,3,,,,,,162307,,,,184387,,,,179979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80ZI6,LRSM1_MOUSE,Lrsam1,E3 ubiquitin-protein ligase LRSAM1,9,9,,,,,83723.2,44775.3,,,73957.3,74315.5,27373.3,,53365.5,76067.4,37711.6,53583.6,,,,,,,120034,,75031.6,,,,,,,,,,,,,,,,,,
Q80XG9,LRRT4_MOUSE,Lrrtm4,Leucine-rich repeat transmembrane neuronal protein 4,14,13,,466134,,,170584,1.58E+06,,,,1.87E+06,,,,1.13E+06,,1.91E+06,2.39E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BZ81,LRRT3_MOUSE,Lrrtm3,Leucine-rich repeat transmembrane neuronal protein 3,14,12,293293,224320,,36293.6,,1.11E+06,,42259.7,,1.28E+06,,48364.2,,483522,,161296,178753,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BGA3,LRRT2_MOUSE,Lrrtm2,Leucine-rich repeat transmembrane neuronal protein 2,11,11,,,,177542,,776581,,30835.3,,1.01E+06,,41499.9,114093,274987,,,,,,,,,,,,,,,,,,,,,,300713,,,,,,,
Q8K377,LRRT1_MOUSE,Lrrtm1,Leucine-rich repeat transmembrane neuronal protein 1,13,13,,124864,,126830,148345,954143,,84883.8,140394,1.03E+06,,126364,128179,753387,,248105,231086,,,,98251,,,,,,,,,,,,,,,,,,,,,,
Q61809,LRRN1_MOUSE,Lrrn1,Leucine-rich repeat neuronal protein 1,2,2,,,,,57601,,,,52073.4,68292.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5S006,LRRK2_MOUSE,Lrrk2,Leucine-rich repeat serine/threonine-protein kinase 2,10,10,,,,,,48380,,,,48576.8,,,,54034.8,,,,,,,,,,,,,,,,,,,,,,50832.3,,,,,,,
A0A0G2JEP4,A0A0G2JEP4_MOUSE,Lrrfip2,Leucine-rich repeat flightless-interacting protein 2,1,1,,,,,,,,,,,,,,,,,,,,,,,,124331,,,,,,,,,,,,,,,,,,,
A0A1L1SSC0;A0A668KLE1,A0A1L1SSC0_MOUSE;A0A668KLE1_MOUSE,Lrrfip2,Leucine-rich repeat flightless-interacting protein 2,23,22,307867,287991,389636,,,,,,,153832,,,,101133,,469465,503365,362219,606568,574704,554851,1.31E+06,,897896,,,,582974,,,199377,,,,,409713,1.90E+06,,,,,,
A0A087WNU6,A0A087WNU6_MOUSE,Lrrfip1,Leucine rich repeat (in FLII) interacting protein 1 (Fragment),2,2,379944,449295,742407,,,53808.6,,75052.6,,195062,,,,63170.7,,1.99E+06,2.11E+06,931655,991930,822969,1.01E+06,,,,,,,888653,,,,,,,,,,,,,,,
A0A087WPK3,A0A087WPK3_MOUSE,Lrrfip1,Leucine rich repeat (in FLII) interacting protein 1,20,20,,194191,,,,228163,,,,287347,,,,312299,,609553,693310,366465,861048,675392,688348,,,,,,,317537,,,218433,,,,,26143.6,,,,,,,
A0A087WSF5,A0A087WSF5_MOUSE,Lrrfip1,Leucine rich repeat (in FLII) interacting protein 1 (Fragment),1,1,,,,,,,,,,,,,,,,,186609,,,,,,,,,,,,,,227657,,,,,,,,,,,,
Q8BGR2,LRC8D_MOUSE,Lrrc8d,Volume-regulated anion channel subunit LRRC8D,5,5,,,,,,8550.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7954.91,,,,
Q8R502,LRC8C_MOUSE,Lrrc8c,Volume-regulated anion channel subunit LRRC8C,16,15,,,,73121.1,223668,215994,,59646.4,173158,201329,,85073.9,153630,168961,,116838,144467,167417,,,,220951,,,,,,,,,68940.8,,,,,,,,54172.5,,,,
Q5DU41,LRC8B_MOUSE,Lrrc8b,Volume-regulated anion channel subunit LRRC8B,8,8,,,,74265,219534,135872,,,115309,200097,,,85411.1,144276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80WG5,LRC8A_MOUSE,Lrrc8a,Volume-regulated anion channel subunit LRRC8A,32,31,,,,308070,850022,1.07E+06,,321560,671240,1.41E+06,,338212,693694,833168,,315557,347377,535159,,,,279336,210121,,,,,,,,163231,,,,,351330,,,,,,,
Q7TSF4,LR75A_MOUSE,Lrrc75a,Leucine-rich repeat-containing protein 75A,7,7,,,,24469.9,,147827,,26507.9,,248083,,,,182111,,112692,124599,94440.9,,,,143263,,,,,,,,,,,,,,9796.19,,,,,,,
B2RWC4;F6U1P7,B2RWC4_MOUSE;F6U1P7_MOUSE,Lrrc73,Leucine-rich repeat-containing protein 73,6,6,640222,690731,645858,80869.4,,712085,,158817,,662906,,132793,,279873,,157959,173321,,698927,742686,1.33E+06,,,,,,,,127026,,,,,,,,,,54250.2,,,,
Q9D3W5,LRC71_MOUSE,Lrrc71,Leucine-rich repeat-containing protein 71,3,3,,,,,,,,,,,,,,,,,,,,,,302875,,,,,,,,,,,,,,,326621,,,,,,
Q80TE7,LRRC7_MOUSE,Lrrc7,Leucine-rich repeat-containing protein 7,104,101,5.24E+06,5.67E+06,3.96E+06,249623,540068,8.00E+06,,341034,264311,8.31E+06,,394395,,7.34E+06,,8.87E+06,9.40E+06,1.12E+06,1.33E+06,1.37E+06,2.03E+06,,,,,,,,,,,6.92E+06,4.29E+06,7.56E+06,,,,,,,,,
Q922Q8,LRC59_MOUSE,Lrrc59,Leucine-rich repeat-containing protein 59,17,16,1.79E+06,1.22E+06,1.27E+06,763649,,5.41E+06,202797,726934,,8.20E+06,226744,830915,,3.12E+06,145892,4.48E+06,3.49E+06,9.77E+06,971702,646504,1.08E+06,1.29E+07,2.26E+06,1.40E+06,,,,1.50E+06,,850237,1.31E+06,900321,,,1.32E+06,6.36E+06,1.84E+06,,1.82E+06,,,,
Q9D1G5,LRC57_MOUSE,Lrrc57,Leucine-rich repeat-containing protein 57,17,17,1.03E+06,794225,806014,567572,,630876,,512483,,1.31E+06,,585716,,1.30E+06,,937404,1.00E+06,903401,948611,625161,680356,210224,398186,95506.8,,,,773600,,119466,190629,,,,,103769,178192,143694,327170,,,,
D3YVA6;G5E8I1,D3YVA6_MOUSE;G5E8I1_MOUSE,Lrrc51,Leucine-rich repeat-containing protein 51,4,4,,,,,,,,,,,,,,,,,,,,,,1.08E+06,,,,,,,,,,,,,,,1.01E+06,,,,,,
Q8C031,LRC4C_MOUSE,Lrrc4c,Leucine-rich repeat-containing protein 4C,10,10,,212165,,82532.4,665119,602473,,103986,572470,488833,,84019.2,501237,324576,,91579.2,109799,,,,,,,,,,,,,,,,,,,,,,,,,,
P0C192,LRC4B_MOUSE,Lrrc4b,Leucine-rich repeat-containing protein 4B,16,14,645190,817000,578670,346805,2.25E+06,1.12E+06,,350719,2.05E+06,1.02E+06,,377728,1.75E+06,860889,,376959,456223,,,,,,,,,,,,,,,,,,,,,,,,,,
E9QM16;E9Q8C9,E9Q8C9_MOUSE;E9QM16_MOUSE,Lrrc49,Leucine-rich repeat-containing protein 49,1,1,,,,,,,,,,,,,,,,,,,,,,259627,,,,,,,,,,,,,,,,,,,,,
Q91YK0,LRC49_MOUSE,Lrrc49,Leucine-rich repeat-containing protein 49,12,12,,,,,,233104,,,,288901,,,,153910,,137297,157227,,,,,142425,,,,,,,,,,,,,,,,134994,110510,,,,
Q505F5,LRC47_MOUSE,Lrrc47,Leucine-rich repeat-containing protein 47,22,22,627937,433974,619001,198077,,553169,231468,196575,,582689,289980,217819,,963597,256800,1.99E+06,1.81E+06,648253,976978,808247,900340,6.22E+06,,845823,749385,682705,,405433,805767,223701,310399,,,,,1.21E+06,3.06E+06,743503,368056,,,,
Q9DAP0,LRC46_MOUSE,Lrrc46,Leucine-rich repeat-containing protein 46,9,9,,,,,,240218,,,,,,,,,,,,,,,,646853,,,,,,,,,,,,,,,,2.96E+06,835957,,,,
Q8K1C9,LRC41_MOUSE,Lrrc41,Leucine-rich repeat-containing protein 41,2,2,,,,,,29457,,,,32075.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CRC8,LRC40_MOUSE,Lrrc40,Leucine-rich repeat-containing protein 40,24,24,211330,256948,205594,75575.8,,260010,78396.4,96878.5,,352093,125173,65940.7,,317497,105122,128364,113229,167246,288637,207456,334594,142809,,,158979,,,133694,247516,151360,109998,,,,,141881,,484627,224790,,,,
Q99PH1,LRRC4_MOUSE,Lrrc4,Leucine-rich repeat-containing protein 4,5,5,,110451,,150251,562620,293417,,36957.8,394753,404506,,172313,386689,326685,,47702.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1AWG4,B1AWG4_MOUSE,Lrrc37a,Leucine rich repeat containing 37A,16,16,,,,,,,,,,,,,,,,,,,,,,626690,,,,,,,,,,,,,,,,,368770,,,,
A2A9H6,A2A9H6_MOUSE,Lrrc37,Leucine rich repeat containing 37,30,20,,,,,,,,,,,,,,,,,,,,,,887198,,,,,,,,,,,,,,,517005,,541100,,,,
Q9DAM1,LRC34_MOUSE,Lrrc34,Leucine-rich repeat-containing protein 34,13,13,,,,,,93435.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866091,284988,,,,
Q80YS5,LRC27_MOUSE,Lrrc27,Leucine-rich repeat-containing protein 27,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290123,,,,,,
Q8BHA1,LRC24_MOUSE,Lrrc24,Leucine-rich repeat-containing protein 24,2,2,,,,,,43783.4,,,,61789.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O35125,LRC23_MOUSE,Lrrc23,Leucine-rich repeat-containing protein 23,10,10,,,,,,29225.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307411,413767,101816,,,,
Q8BZT5,LRC19_MOUSE,Lrrc19,Leucine-rich repeat-containing protein 19,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360190,,,,,,104019,,,,,,,
Q8VC16,LRC14_MOUSE,Lrrc14,Leucine-rich repeat-containing protein 14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137450,32587.6,,,,
Q80VQ1,LRRC1_MOUSE,Lrrc1,Leucine-rich repeat-containing protein 1,6,6,,,,,,64481.4,,,,109031,,,,,,,,123415,,,,,,,,,,,,189925,89764.9,,,,,,,,159097,,,,
Q6PB66,LPPRC_MOUSE,Lrpprc,"Leucine-rich PPR motif-containing protein, mitochondrial",85,85,436226,889015,398680,830460,2.21E+06,989146,,849358,1.76E+06,855038,,855584,1.15E+06,949639,,368493,385731,826690,,,154810,321768,821157,220844,,611151,,410474,267858,3.94E+06,263594,,,,511370,521152,338162,,2.28E+06,,,384344,
P55302,AMRP_MOUSE,Lrpap1,Alpha-2-macroglobulin receptor-associated protein,39,39,,,,362661,,120778,216243,417599,,160224,,449703,,84277.8,,193741,315395,359948,260882,431609,452664,429512,634183,3.71E+06,,,,600889,,1.54E+06,424762,,,,,2.91E+06,525788,,1.76E+06,,,,
Q924X6,LRP8_MOUSE,Lrp8,Low-density lipoprotein receptor-related protein 8,3,3,,,,,64853.5,,,,51325.5,,,,,,,,,,,,,69495.7,,,,,,,,,,,,,,,,,77790.9,,,,
Q8VI56,LRP4_MOUSE,Lrp4,Low-density lipoprotein receptor-related protein 4,9,9,,,,,,32907.5,,,,26599.5,,,,49250.8,,38167.8,51046.6,55214.7,,,,,,,,,,,,,,,,,,,,,,,,,
